airport,passengers_2024
SYDNEY,24720397
MELBOURNE,23879584
BRISBANE,16657146
PERTH,8456662
ADELAIDE,7297551
GOLD COAST,5613782
CAIRNS,4035800
CANBERRA,2794200
HOBART,2651674
SUNSHINE COAST,1884990
TOWNSVILLE,1671367
DARWIN,1593329
LAUNCESTON,1412989
NEWCASTLE,1201167
MACKAY,911711
ROCKHAMPTON,656238
BALLINA,620258
KARRATHA,578078
PROSERPINE,506464
HAMILTON ISLAND,489740
PORT HEDLAND,479295
BROOME,439453
NEWMAN,372181
ALICE SPRINGS,367236
KALGOORLIE,361876
AYERS ROCK,283551
ALBURY,276473
PARABURDOO,263370
COFFS HARBOUR,263141
GLADSTONE,240229
MOUNT ISA,232297
MILDURA,231854
PORT MACQUARIE,226932
WAGGA WAGGA,201614
EMERALD,195908
DUBBO,195095
TAMWORTH,172980
PORT LINCOLN,171635
BUNDABERG,165224
HERVEY BAY,154744
DEVONPORT,121562
MORANBAH,111076
THURSDAY ISLAND,110267
GERALDTON,109887
ARMIDALE,105691
OLYMPIC DAM,103589
LEARMONTH,103108
ORANGE,99332
KUNUNURRA,98605
WEIPA,89971
BURNIE,76001
TOOWOOMBA WELLCAMP,73539
MOUNT GAMBIER,72865
NORFOLK ISLAND,70035
GOVE,68052
GRIFFITH,67478
BUSSELTON,65280
ALBANY,65139
CLONCURRY,60579
MERIMBULA,59457
BROKEN HILL,58047
ROMA,57885
ESPERANCE,54062
GROOTE EYLANDT,49545
KING ISLAND,46978
WHYALLA,46522
LONGREACH,40034
MCARTHUR RIVER,38789
MOREE,30322
LORD HOWE ISLAND,29201
CARNARVON,26493
KINGSCOTE,26419
PALM ISLAND,26303
ESSENDON FIELDS,25732
CHRISTMAS ISLAND,23155
FLINDERS ISLAND,21131
BENDIGO,20383
MORUYA,20249
CEDUNA,19533
PARKES,19244
COOKTOWN,19147
WOLLONGONG,19089
BAMAGA,18956
BLACKALL,16994
COCOS ISLAND,16924
MILES,16532
BARCALDINE,16217
BATHURST ISLAND,15740
AURUKUN,13880
MANINGRIDA,13656
CHARLEVILLE,12960
MORNINGTON ISLAND,11719
LOCKHART RIVER,10868
KOWANYAMA,10597
ELCHO ISLAND,9687
NORMANTON,8354
DOOMADGEE,8274
MOORABBIN,8112
EDWARD RIVER,7824
NARRANDERA,7456
BURKETOWN,720
