name,city,iata,latitude,longitude,altitude_m,state,passengers_2024
Brisbane Archerfield Airport,Brisbane,ACF,-27.5702991486,153.007995605,19.0,QLD,16657146.0
Northern Peninsula Airport,Amberley,ABM,-10.9508,142.459,10.0,,
Alice Springs Airport,Alice Springs,ASP,-23.806699752807617,133.90199279785156,545.0,,367236.0
Brisbane International Airport,Brisbane,BNE,-27.384199142456055,153.11700439453125,4.0,QLD,16657146.0
Gold Coast Airport,Coolangatta,OOL,-28.1644001007,153.505004883,6.0,,
Cairns International Airport,Cairns,CNS,-16.885799408,145.755004883,3.0,QLD,4035800.0
Charleville Airport,Charlieville,CTL,-26.4132995605,146.261993408,306.0,,
Mount Isa Airport,Mount Isa,ISA,-20.663900375399997,139.488998413,342.0,,232297.0
Sunshine Coast Airport,Maroochydore,MCY,-26.6033,153.091003,5.0,,
Mackay Airport,Mackay,MKY,-21.171699523900003,149.179992676,6.0,QLD,911711.0
Proserpine Whitsunday Coast Airport,Prosserpine,PPP,-20.4950008392,148.552001953,25.0,,
Rockhampton Airport,Rockhampton,ROK,-23.3819007874,150.475006104,10.0,QLD,656238.0
Townsville Airport,Townsville,TSV,-19.252500534057617,146.76499938964844,5.0,QLD,1671367.0
Weipa Airport,Weipa,WEI,-12.6786003113,141.925003052,19.0,,89971.0
Avalon Airport,Avalon,AVV,-38.039398,144.468994,11.0,,
Albury Airport,Albury,ABX,-36.06779861450195,146.95799255371094,164.0,,276473.0
Melbourne Essendon Airport,Melbourne,MEB,-37.7281,144.901993,86.0,VIC,23879584.0
RAAF Base East Sale,East Sale,,-38.0988998413,147.149002075,7.0,,
Hobart International Airport,Hobart,HBA,-42.836101532,147.509994507,4.0,TAS,2651674.0
Launceston Airport,Launceston,LST,-41.54529953,147.214004517,171.0,TAS,1412989.0
Melbourne Moorabbin Airport,Melbourne,MBW,-37.975799560546875,145.1020050048828,15.0,VIC,23879584.0
Melbourne International Airport,Melbourne,MEL,-37.673302,144.843002,132.0,VIC,23879584.0
"RAAF Williams, Point Cook Base",Point Cook,,-37.932201,144.753006,4.0,,
Adelaide International Airport,Adelaide,ADL,-34.945,138.531006,6.0,SA,7297551.0
RAAF Base Edinburgh,Edinburgh,,-34.70249938964844,138.62100219726562,20.0,,
Perth Jandakot Airport,Perth,JAD,-32.09749984741211,115.88099670410156,30.0,WA,8456662.0
Karratha Airport,Karratha,KTA,-20.712200164799995,116.773002625,9.0,WA,578078.0
Kalgoorlie Boulder Airport,Kalgoorlie,KGI,-30.789400100699996,121.461997986,367.0,,361876.0
Kununurra Airport,Kununurra,KNX,-15.7781000137,128.707992554,44.0,,98605.0
Learmonth Airport,Learmonth,LEA,-22.235599517799997,114.088996887,6.0,,103108.0
Port Hedland International Airport,Port Hedland,PHE,-20.3777999878,118.625999451,10.0,,479295.0
Adelaide Parafield Airport,Adelaide,,-34.793300628699996,138.632995605,17.0,SA,7297551.0
Perth International Airport,Perth,PER,-31.94029998779297,115.96700286865234,20.0,WA,8456662.0
Woomera Airfield,Woomera,UMR,-31.14419937133789,136.81700134277344,167.0,,
Sydney Bankstown Airport,Sydney,BWU,-33.924400329589844,150.98800659179688,9.0,NSW,24720397.0
Canberra International Airport,Canberra,CBR,-35.30690002441406,149.19500732421875,575.0,ACT,2794200.0
Coffs Harbour Airport,Coff's Harbour,CFS,-30.3206005096,153.115997314,5.0,,
Camden Airport,Camden,CDU,-34.04029846191406,150.68699645996094,70.0,,
Dubbo City Regional Airport,Dubbo,DBO,-32.2167015076,148.574996948,285.0,,195095.0
RAAF Base Richmond,Richmond,XRH,-33.600601,150.781006,20.0,,
Sydney Kingsford Smith International Airport,Sydney,SYD,-33.94609832763672,151.177001953125,6.0,NSW,24720397.0
Tamworth Airport,Tamworth,TMW,-31.0839004517,150.847000122,407.0,,172980.0
Wagga Wagga City Airport,Wagga Wagga,WGA,-35.1652984619,147.466003418,221.0,,201614.0
Emerald Airport,Emerald,EMD,-23.5674991608,148.179000854,190.0,,195908.0
Darwin International Airport,Darwin,DRW,-12.41469955444336,130.8769989013672,31.0,NT,1593329.0
Ayers Rock Connellan Airport,Uluru,AYQ,-25.1861,130.975998,496.0,,
