origin,destination,passengers
SYD,WGA,2025
CBR,OOL,2025
CBR,OOL,2025
CBR,OOL,2025
BNE,CNS,2025
BNE,CNS,2025
BNE,CNS,2025
BNE,CNS,2025
BNE,CNS,2025
BNE,CNS,2025
BNE,CNS,2025
CBR,MEL,2025
CBR,MEL,2025
CBR,MEL,2025
CBR,MEL,2025
CBR,MEL,2025
CBR,MEL,2025
ADL,CBR,2025
ADL,CBR,2025
CBR,OOL,2025
CBR,OOL,2025
CFS,SYD,2025
CBR,OOL,2025
CFS,SYD,2025
CFS,SYD,2025
CFS,SYD,2025
PER,SYD,2025
MEL,NTL,2025
MEL,NTL,2025
MEL,NTL,2025
MEL,NTL,2025
MEL,NTL,2025
CBR,SYD,2025
CBR,SYD,2025
CBR,SYD,2025
CBR,SYD,2025
CBR,SYD,2025
CBR,SYD,2025
CBR,SYD,2025
CBR,OOL,2025
ADL,CBR,2025
ADL,CBR,2025
ADL,CBR,2025
ADL,CBR,2025
MEL,OOL,2025
MEL,OOL,2025
BNE,TSV,2025
BNE,TSV,2025
BNE,TSV,2025
BNE,TSV,2025
BNE,TSV,2025
BNE,TSV,2025
BNE,TSV,2025
ADL,CNS,2025
ADL,CNS,2025
ADL,CNS,2025
ADL,CNS,2025
ADL,CNS,2025
ADL,CNS,2025
ADL,CNS,2025
BNE,EMD,2025
MEL,OOL,2025
MEL,OOL,2025
MEL,OOL,2025
BNE,DRW,2025
ADL,CBR,2025
CBR,MEL,2025
BNE,DRW,2025
BNE,DRW,2025
BNE,DRW,2025
BNE,DRW,2025
BNE,DRW,2025
BNE,DRW,2025
MEL,OOL,2025
PER,PHE,2025
PER,PHE,2025
PER,PHE,2025
PER,PHE,2025
PER,PHE,2025
PER,PHE,2025
MEL,OOL,2025
CFS,SYD,2025
CFS,SYD,2025
BNE,EMD,2025
MEL,MQL,2025
MEL,MQL,2025
CNS,SYD,2025
CNS,SYD,2025
CNS,SYD,2025
CNS,SYD,2025
CNS,SYD,2025
CNS,SYD,2025
CNS,SYD,2025
ADL,BNE,2025
ADL,BNE,2025
ADL,BNE,2025
ADL,BNE,2025
ADL,BNE,2025
ADL,BNE,2025
ADL,BNE,2025
BME,PER,2025
BME,PER,2025
MEL,MQL,2025
MEL,MQL,2025
CFS,SYD,2025
MEL,MQL,2025
PER,ZNE,2025
CNS,TSV,2025
CNS,TSV,2025
CNS,TSV,2025
CNS,TSV,2025
CNS,TSV,2025
CNS,TSV,2025
CNS,TSV,2025
QNA,SYD,2025
QNA,SYD,2025
QNA,SYD,2025
QNA,SYD,2025
QNA,SYD,2025
QNA,SYD,2025
QNA,SYD,2025
MEL,MQL,2025
MEL,MQL,2025
BME,PER,2025
CNS,OOL,2025
CNS,OOL,2025
CNS,OOL,2025
ADL,PER,2025
ADL,PER,2025
BNE,CBR,2025
BNE,CBR,2025
BNE,CBR,2025
BNE,CBR,2025
BNE,CBR,2025
BNE,CBR,2025
BNE,CBR,2025
PER,SYD,2025
PER,SYD,2025
PER,SYD,2025
PER,SYD,2025
PER,SYD,2025
PER,SYD,2025
MEL,NTL,2025
MEL,NTL,2025
ADL,PER,2025
ADL,PER,2025
CNS,MEL,2025
BME,PER,2025
CNS,OOL,2025
CNS,OOL,2025
CNS,OOL,2025
CNS,OOL,2025
BME,PER,2025
BME,PER,2025
BME,PER,2025
ADL,PER,2025
CNS,MEL,2025
ADL,PER,2025
MEL,TSV,2025
CNS,MEL,2025
CNS,MEL,2025
CNS,MEL,2025
CNS,MEL,2025
CNS,MEL,2025
BNE,EMD,2025
BNE,SYD,2025
PER,ZNE,2025
MEL,SYD,2025
BNE,MOV,2025
BNE,MOV,2025
BNE,MOV,2025
BNE,MOV,2025
BNE,MOV,2025
BNE,MOV,2025
BNE,MOV,2025
BNE,HTI,2025
BNE,HTI,2025
BNE,HTI,2025
BNE,HTI,2025
BNE,MKY,2025
BNE,MKY,2025
BNE,MKY,2025
BNE,MKY,2025
BNE,MKY,2025
BNE,MKY,2025
MEL,SYD,2025
MEL,SYD,2025
OOL,SYD,2025
MEL,SYD,2025
OOL,SYD,2025
OOL,SYD,2025
OOL,SYD,2025
OOL,SYD,2025
BNE,NTL,2025
BNE,NTL,2025
BNE,NTL,2025
BNE,NTL,2025
BNE,NTL,2025
BNE,NTL,2025
BNE,NTL,2025
BNE,HTI,2025
BNE,HTI,2025
BNE,HTI,2025
MEL,SYD,2025
MEL,SYD,2025
MEL,SYD,2025
BNE,MKY,2025
BNE,ISA,2025
BNE,ISA,2025
BNE,ISA,2025
SYD,TMW,2025
SYD,TMW,2025
SYD,TMW,2025
SYD,TMW,2025
SYD,TMW,2025
SYD,TMW,2025
SYD,TMW,2025
BNE,LST,2025
BNE,LST,2025
BNE,LST,2025
BNE,LST,2025
BNE,LST,2025
MEL,TSV,2025
MEL,TSV,2025
MEL,TSV,2025
MEL,TSV,2025
MEL,TSV,2025
BNE,LST,2025
BNE,LST,2025
BNE,MEL,2025
BNE,MEL,2025
BNE,ISA,2025
BNE,ISA,2025
BNE,ISA,2025
BNE,ISA,2025
BNE,MEL,2025
BNE,MEL,2025
BNE,MEL,2025
BNE,MEL,2025
ADL,MEL,2025
BNE,MEL,2025
ADL,MEL,2025
ADL,MEL,2025
ADL,MEL,2025
ADL,MEL,2025
ADL,MEL,2025
ADL,MEL,2025
OOL,SYD,2025
OOL,SYD,2025
BNE,SYD,2025
ADL,DRW,2025
MEL,PER,2025
MEL,PER,2025
BNE,ROK,2025
BNE,ROK,2025
BNE,ROK,2025
BNE,ROK,2025
BNE,ROK,2025
BNE,ROK,2025
BNE,ROK,2025
BNE,GLT,2025
BNE,GLT,2025
BNE,GLT,2025
BNE,GLT,2025
BNE,GLT,2025
ADL,OOL,2025
ADL,OOL,2025
MEL,PER,2025
ADL,DRW,2025
ADL,DRW,2025
BNE,HBA,2025
ADL,DRW,2025
BNE,SYD,2025
BNE,SYD,2025
BNE,SYD,2025
BNE,SYD,2025
BNE,SYD,2025
BNE,EMD,2025
BNE,EMD,2025
BNE,EMD,2025
BNE,EMD,2025
PER,PHE,2025
MEL,PER,2025
MEL,PER,2025
MEL,PER,2025
MEL,PER,2025
ADL,DRW,2025
ADL,DRW,2025
ADL,DRW,2025
BNE,PPP,2025
BNE,PPP,2025
